,callDateTime,priority,district,description,callNumber,incidentLocation,location
1046575,11/13/2015 5:32,Non-Emergency,SW,Private Tow,P153170324,1000 ARION PARK RD,"(39.2672170,-76.6865150)"
1046576,11/13/2015 5:33,Medium,CD,911/NO  VOICE,P153170325,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046577,11/13/2015 5:33,Low,SD,INTOXICATED PERS,P153170326,1500 RUSSELL ST,"(39.2744610,-76.6278710)"
1046578,11/13/2015 5:33,High,ND,SILENT ALARM,P153170327,3600 FALLS RD,"(39.3309611,-76.6351760)"
1046579,11/13/2015 5:36,Medium,WD,SUSPICIOUS PERS,P153170328,W FAYETTE ST/N MONROE ST,"(39.289475,-76.647014)"
1046580,11/13/2015 5:31,Medium,NE,UNFOUNDED,P153170329,HAVENWOOD RD/KELWAY RD,"(39.340989,-76.594747)"
1046581,11/13/2015 5:37,Medium,CD,UNFOUNDED,P153170330,800 DOLPHIN ST,"(39.2968919,-76.6332543)"
1046582,11/13/2015 5:40,Medium,CD,SUSPICIOUS PERS,P153170331,500 BLK W PRESTON ST,"(39.2996215,-76.6256254)"
1046583,11/13/2015 5:41,Medium,SE,911/NO  VOICE,P153170332,3400 EASTERN AV,"(39.2867760,-76.5688840)"
1046584,11/13/2015 5:45,High,NE,RA POLICE,P153170333,5500 DAYWALT AV,"(39.3279460,-76.5378290)"
1046585,11/13/2015 5:46,Non-Emergency,ND,Repairs/Service,P153170334,FRONT,"(0.000000,0.000000)"
1046586,11/13/2015 5:50,Low,NW,RECOVERED VEH,P153170335,3300 CLARKS LN,"(39.3665960,-76.6964850)"
1046587,11/13/2015 5:48,Non-Emergency,ED,TOWED VEHICLE,P153170336,900 N LINWOOD AV,"(39.3015300,-76.5770530)"
1046588,11/13/2015 5:48,Medium,SD,DISORDERLY,P153170337,500 W PRATT ST,"(39.2862655,-76.6221055)"
1046589,11/13/2015 5:57,Medium,SD,DISORDERLY,P153170340,500 W PRATT ST,"(39.2862655,-76.6221055)"
1046590,11/13/2015 5:56,Low,CD,DESTRUCT PROPTY,P153170341,400 W MONUMENT ST,"(39.2973235,-76.6214370)"
1046591,11/13/2015 6:00,Medium,WD,911/NO  VOICE,P153170342,2000-45 WINCHESTER ST,"(39.3018367,-76.6515506)"
1046592,11/13/2015 6:02,Medium,NE,911/NO  VOICE,P153170343,2500-1 HARFORD RD,"(39.3169740,-76.5954540)"
1046593,11/13/2015 6:02,Medium,WD,911/NO  VOICE,P153170344,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046594,2/24/2017 8:37,Non-Emergency,CD,Court,P170550671,TCE,"(39.312001,-76.599273)"
1046595,11/11/2015 1:31,High,NE,Traffic Stop,P153150170,5800 BLK DAYWAL,"(,)"
1046596,11/11/2015 1:30,Non-Emergency,NE,Repo,P153150172,1200 CEDARCROFT RD,"(39.3696594,-76.6000804)"
1046597,11/11/2015 1:35,Medium,WD,911/NO  VOICE,P153150173,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046598,11/11/2015 1:35,Medium,ND,DISORDERLY,P153150174,E 0ST ST/GUILFORD AV,"(39.325928,-76.613370)"
1046599,11/11/2015 1:39,Non-Emergency,SE,TOWED VEHICLE,P153150176,400 N KENWOOD AV,"(39.2958960,-76.5780950)"
1046600,11/11/2015 1:37,High,SW,ROBBERY UNARMED,P153150177,DESOTO RD/WASHINGTON BL,"(39.264617,-76.654748)"
1046601,11/11/2015 1:40,Low,SE,Transport,P153150178,CENTRAL BOOKING,"(39.298946,-76.610470)"
1046602,11/11/2015 1:46,Low,CD,HIT AND RUN,P153150191,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046603,11/11/2015 1:51,High,ND,AGGRAV ASSAULT,P153150192,2400 N CHARLES ST,"(39.3163859,-76.6169039)"
1046604,11/11/2015 1:50,Medium,ED,DISORDERLY,P153150193,COLVIN ST/HILLEN ST,"(39.295874,-76.606867)"
1046605,11/11/2015 1:52,Low,CW,DEPT ACCIDENT,P153150194,2700 W BALTIMORE ST,"(39.2878060,-76.6591550)"
1046606,11/11/2015 1:53,Medium,CW,Lab Request,P153150195,1700 EASTERN AV,"(39.2856051,-76.5933660)"
1046607,11/11/2015 1:55,High,NE,Traffic Stop,P153150196,2500 HARFORD RD,"(39.3169142,-76.5955223)"
1046608,11/11/2015 1:51,Medium,SD,COMMON ASSAULT,P153150197,1700 COLE ST,"(39.2821865,-76.6434582)"
1046609,11/11/2015 1:56,Medium,ED,DISORDERLY,P153150200,COLVIN ST/HILLEN ST,"(39.295874,-76.606867)"
1046610,11/11/2015 1:57,High,ND,SILENT ALARM,P153150201,3300 CLIPPER MILL RD,"(39.3270587,-76.6377118)"
1046611,11/11/2015 1:53,Non-Emergency,NE,Repo,P153150202,1000 E 33RD ST,"(39.3289710,-76.6015390)"
1046612,11/11/2015 2:03,High,SE,Traffic Stop,P153150203,N LINWOOD AV/ORLEANS ST,"(39.295858,-76.576425)"
1046613,11/11/2015 2:04,High,SE,Field Interview,P153150204,MT PLEASANT AV/S CONKLING ST,"(39.290909,-76.567437)"
1046614,11/11/2015 1:53,Low,ND,SEE TEXT,P153150205,1100 E BELVEDERE AV,"(39.3614270,-76.5958010)"
1046615,11/11/2015 2:01,Medium,ED,DISORDERLY,P153150207,HILLEN ST/COLVIN ST,"(39.295874,-76.606867)"
1046616,11/11/2015 2:04,Non-Emergency,SD,Repo,P153150208,1000 HOLLINS ST,"(39.2879127,-76.6338748)"
1046617,11/11/2015 2:06,Non-Emergency,ND,LOUD MUSIC,P153150209,4800 OLD YORK RD,"(39.3471770,-76.6078340)"
1046618,11/11/2015 2:08,Non-Emergency,SE,Other,P153150211,1600 THAMES ST,"(39.2811520,-76.5948677)"
1046619,11/11/2015 2:08,Medium,ND,DISORDERLY,P153150212,2500 N HOWARD ST,"(39.3179886,-76.6201275)"
1046620,11/11/2015 2:06,Medium,SD,DISORDERLY,P153150213,800 BLK PONTIAC AV,"(39.2343491,-76.5997474)"
1046621,11/11/2015 2:13,Non-Emergency,NE,Repairs/Service,P153150214,100,"(39.3810499,-76.6572571)"
1046622,11/11/2015 2:13,Low,SE,OTHER,P153150215,3400 MT PLEASANT AV,"(39.2909444,-76.5691312)"
1046623,11/12/2015 11:41,Medium,SD,911/NO  VOICE,P153161025,1500 BUSH ST,"(39.2750153,-76.6358333)"
1046624,11/12/2015 11:43,Medium,ND,911/NO  VOICE,P153161026,100 W 29TH ST,"(39.3231493,-76.6188892)"
1046625,11/12/2015 11:43,Low,SE,WELL CK,P153161027,600 S ANN ST,"(39.2843940,-76.5915770)"
1046626,11/12/2015 11:45,Non-Emergency,SE,Other,P153161028,100 N WOLFE ST,"(39.2928648,-76.5908026)"
1046627,11/12/2015 11:44,Medium,CD,911/NO  VOICE,P153161029,0 E PRATT ST,"(39.2864962,-76.6148730)"
1046628,11/12/2015 11:46,Medium,NW,NARCOTICSOutside,P153161031,PIMLICO RD/WYLIE AV,"(39.341606,-76.666172)"
1046629,11/12/2015 11:45,Medium,NE,911/NO  VOICE,P153161032,5600 LOCH RAVEN BL,"(39.3578590,-76.5902710)"
1046630,11/12/2015 11:46,Medium,SD,911/NO  VOICE,P153161033,200,"(39.2912369,-76.6124710)"
1046631,11/12/2015 11:48,Low,ND,OTHER,P153161034,5600 CLEARSPRING RD,"(39.3583242,-76.6065012)"
1046632,11/12/2015 11:47,Medium,NE,DISORDERLY,P153161035,E 0ND ST/HARFORD RD,"(39.326981,-76.584459)"
1046633,11/11/2015 3:35,High,ND,SILENT ALARM,P153150278,1100 SHERWOOD AV,"(39.3655750,-76.5973440)"
1046634,11/11/2015 3:37,High,SW,SILENT ALARM,P153150279,1300 POPLAR GROVE ST,"(39.3022517,-76.6655714)"
1046635,11/11/2015 3:40,Non-Emergency,SW,Repo,P153150280,3900 STOKES DR,"(39.3004869,-76.6812585)"
1046636,11/11/2015 3:42,Medium,SD,DISORDERLY,P153150281,HORSESHOE CASINO,"(39.274106,-76.627583)"
1046637,11/11/2015 3:44,Medium,NW,DISORDERLY,P153150282,3300 W COLD SPRING LN,"(39.3366870,-76.6746129)"
1046638,11/11/2015 3:45,High,ND,SILENT ALARM,P153150283,3600 ROLAND AV,"(39.3312997,-76.6328955)"
1046639,11/11/2015 3:05,Non-Emergency,ED,Repo,P153150284,1000 HOMEWOOD AV,"(39.3014048,-76.6063821)"
1046640,11/11/2015 3:51,Medium,CD,DISORDERLY,P153150285,1100 BLK N CALVERT ST,"(,)"
1046641,11/11/2015 4:17,Medium,SE,DISORDERLY,P153150305,6500 EASTERN AV,"(39.2892458,-76.5357485)"
1046642,11/11/2015 4:23,Medium,CW,Lab Request,P153150306,H0,"(38.1877274,-76.4306578)"
1046643,11/11/2015 4:24,Non-Emergency,NW,Repo,P153150307,3000 GWYNNS FALLS PY,"(39.2903848,-76.6121893)"
1046644,11/11/2015 4:26,Low,CD,LARCENCY,P153150308,0 LIGHT ST,"(39.2895060,-76.6138167)"
1046645,11/11/2015 4:22,Non-Emergency,SE,Repo,P153150309,0 HORSERADISH LN,"(39.2900303,-76.6021404)"
1046646,11/11/2015 4:29,Non-Emergency,SE,Other,P153150310,3600 E LOMBARD ST,"(39.2916600,-76.5673489)"
1046647,11/11/2015 4:29,Medium,WD,DISORDERLY,P153150311,900 N MONROE ST,"(39.2988442,-76.6477936)"
1046648,11/11/2015 4:33,Non-Emergency,NE,TOWED VEHICLE,P153150312,3600 BONVIEW AV,"(39.3146930,-76.5676550)"
1046649,11/11/2015 4:30,Medium,CD,DISORDERLY,P153150313,0 LIGHT ST,"(39.2895060,-76.6138167)"
1046650,11/11/2015 4:28,Medium,ND,TRESPASSING,P153150314,5800 YORK RD,"(39.3477099,-76.6074868)"
1046651,11/11/2015 4:39,Non-Emergency,SE,RECOVER PROPERTY,P153150315,3900 CLAREMONT ST,"(39.2897164,-76.5643072)"
1046652,11/11/2015 4:43,Non-Emergency,NE,Repo,P153150316,4700 PILGRIM RD,"(39.3455812,-76.5756132)"
1046653,11/11/2015 4:43,Medium,ND,MISSING PERSON,P153150317,3600 ROLAND AV,"(39.3312997,-76.6328955)"
1046654,11/11/2015 4:49,Medium,ED,911/NO  VOICE,P153150318,1800 N PATTERSON PARK AV,"(39.3109903,-76.5858963)"
1046655,11/11/2015 4:50,Medium,WD,DISORDERLY,P153150319,600 N FULTON AV,"(39.2953120,-76.6459040)"
1046656,11/11/2015 4:52,Medium,NW,BURGLARY,P153150320,5200 REISTERSTOWN RD,"(39.3428770,-76.6838040)"
1046657,11/11/2015 4:52,High,SD,SILENT ALARM,P153150321,100 S MOUNT ST,"(39.2861800,-76.6439369)"
1046658,11/11/2015 4:51,Medium,WD,911/NO  VOICE,P153150322,1500 MOSHER ST,"(39.3000397,-76.6416875)"
1046659,11/11/2015 4:52,Medium,NE,DISORDERLY,P153150323,1000 E 33RD ST,"(39.3289710,-76.6015390)"
1046660,11/11/2015 4:53,Non-Emergency,NE,Repo,P153150325,6000 AMBERWOOD RD,"(39.3178220,-76.5432350)"
1046661,11/11/2015 4:54,Non-Emergency,SD,Repo,P153150326,1600 PLUM ST,"(39.2283720,-76.5886301)"
1046662,11/11/2015 4:55,Medium,NW,COMMON ASSAULT,P153150327,4000 CEDARDALE RD,"(39.3331490,-76.6702460)"
1046663,11/11/2015 4:59,Medium,NW,COMMON ASSAULT,P153150328,4000 CEDARDALE RD,"(39.3331490,-76.6702460)"
1046664,11/11/2015 5:01,Medium,NE,SUSPICIOUS PERS,P153150329,1000 E 33RD ST,"(39.3289710,-76.6015390)"
1046665,11/11/2015 5:03,High,ND,Traffic Stop,P153150330,N CHARLES ST/E NORTHERN PY,"(39.362094,-76.624951)"
1046666,11/11/2015 5:03,Medium,SW,DISORDERLY,P153150331,1800 BLOOMINGDALE RD,"(39.3081949,-76.6705475)"
1046667,11/11/2015 5:06,Medium,NE,SICK CASE,P153150332,3200 RAVENWOOD AV,"(39.3154674,-76.5783686)"
1046668,11/11/2015 5:05,Non-Emergency,SD,Private Tow,P153150333,1500 WOODALL ST,"(39.2699572,-76.5998408)"
1046669,11/11/2015 5:06,Non-Emergency,NE,Repo,P153150334,3900 KENYON AV,"(39.3174120,-76.5617030)"
1046670,11/11/2015 5:09,Medium,SW,911/NO  VOICE,P153150335,2500 W LEXINGTON ST,"(39.2884284,-76.6736577)"
1046671,11/11/2015 5:08,High,ND,SILENT ALARM,P153150336,2800 W GARRISON AV,"(39.3500090,-76.6658829)"
1046672,11/11/2015 5:12,High,NE,RA POLICE,P153150337,3200 RAVENWOOD AV,"(39.3154674,-76.5783686)"
1046673,11/11/2015 5:13,High,SW,AUTO ACC/INJURY,P153150338,900 BLK S CATON AV,"(39.2724121,-76.6723831)"
1046674,11/11/2015 5:11,High,SD,SILENT ALARM,P153150339,100 S MOUNT ST,"(39.2861800,-76.6439369)"
1046675,11/11/2015 5:12,Medium,CD,911/NO  VOICE,P153150340,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046676,11/11/2015 5:13,High,SW,AUTO ACC/INJURY,P153150341,S CATON AV/WILKENS AV,"(39.274022,-76.671506)"
1046677,11/11/2015 5:16,Medium,ED,FAMILY DISTURB,P153150342,1100 BONAPARTE AV,"(39.3159114,-76.6004664)"
1046678,11/11/2015 5:18,Medium,ED,911/NO  VOICE,P153150343,1800 N PATTERSON PARK AV,"(39.3109852,-76.5858978)"
1046679,11/11/2015 5:18,Medium,NE,AED NONBREATHING,P153150344,6100 BELAIR RD,"(39.3487650,-76.5377699)"
1046680,11/11/2015 5:19,Low,SD,OTHER,P153150345,100 S MOUNT ST,"(39.2861800,-76.6439369)"
1046681,11/11/2015 5:19,Medium,NE,SUSPICIOUS PERS,P153150346,1600 ARGONNE DR,"(39.3404918,-76.5905023)"
1046682,11/11/2015 5:24,High,NE,AUDIBLE ALARM,P153150347,5500 FORCE RD,"(39.3218060,-76.5384150)"
1046683,11/11/2015 5:25,Non-Emergency,SE,Repairs/Service,P153150348,100,"(39.3810499,-76.6572571)"
1046684,11/11/2015 5:25,Non-Emergency,SE,Repairs/Service,P153150349,100,"(39.3810499,-76.6572571)"
1046685,11/11/2015 5:23,Low,SE,POLICE INFO,P153150350,3200 BLK HUDSON ST,"(39.2826220,-76.5711180)"
1046686,11/11/2015 5:27,Medium,SE,INVESTIGATE,P153150351,S CENTRAL AV/E PRATT ST,"(39.289015,-76.599443)"
1046687,11/11/2015 5:32,Medium,ED,911/NO  VOICE,P153150352,1000 EDISON HY,"(39.3029101,-76.5728709)"
1046688,11/11/2015 5:37,High,ED,Field Interview,P153150353,2300 HARFORD RD,"(39.3160570,-76.5964790)"
1046689,11/11/2015 5:42,Non-Emergency,NE,Repo,P153150354,6000 ALTA AV,"(39.3512580,-76.5463590)"
1046690,11/11/2015 5:46,Non-Emergency,WD,Repo,P153150356,0 GORMAN AV,"(39.2878897,-76.6536519)"
1046691,11/11/2015 5:45,Low,SD,AUTO ACCIDENT,P153150357,W CONWAY ST/S HOWARD ST,"(39.284078,-76.619055)"
1046692,11/11/2015 5:51,High,NE,RA POLICE,P153150358,6100 BELAIR RD,"(39.3487650,-76.5377699)"
1046693,11/11/2015 5:48,Medium,NE,DWI,P153150359,WOODBOURNE AV/LOCH RAVEN BL,"(39.355416,-76.589554)"
1046694,11/11/2015 5:52,Low,NE,WANTED ON WARR,P153150360,5700 MAPLEHILL RD,"(39.3560270,-76.5778540)"
1046695,11/11/2015 5:42,Medium,WD,MENTAL CASE,P153150361,1900 W BALTIMORE ST,"(39.2883840,-76.6470949)"
1046696,11/11/2015 5:50,Non-Emergency,WD,Repo,P153150362,2200 OREM AV,"(39.3152206,-76.6486970)"
1046697,11/11/2015 5:58,Medium,CD,911/NO  VOICE,P153150363,200 PEDS,"(39.2958581,-76.5910902)"
1046698,11/11/2015 5:58,Medium,SW,911/NO  VOICE,P153150364,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
1046699,11/11/2015 5:58,Low,SE,POLICE INFO,P153150365,3200 HUDSON ST,"(39.2826220,-76.5711180)"
1046700,11/11/2015 6:01,Low,SE,Transport,P153150366,SOUTHEAST DISTRICT,"(39.287496,-76.547644)"
1046701,11/11/2015 5:57,High,SD,SILENT ALARM,P153150367,100 S MOUNT ST,"(39.2861800,-76.6439369)"
1046702,11/11/2015 6:00,Medium,CD,911/NO  VOICE,P153150368,500 N CHARLES ST,"(39.2951170,-76.6155406)"
1046703,11/11/2015 6:01,Medium,CD,911/NO  VOICE,P153150369,500 N CHARLES ST,"(39.2951170,-76.6155406)"
1046704,11/11/2015 6:02,Medium,NE,Warrant Service,P153150370,CENTRAL BOOKING,"(39.298946,-76.610470)"
1046705,11/11/2015 6:03,Medium,CD,911/NO  VOICE,P153150371,500 N CHARLES ST,"(39.2951171,-76.6155403)"
1046706,11/11/2015 6:03,Medium,NE,SUSPICIOUS PERS,P153150372,2500 KIRK AV,"(39.3182450,-76.6020757)"
1046707,11/11/2015 6:04,Low,SE,LARCENY F/AUTO,P153150373,300 BLK GUSRYAN ST,"(39.2905000,-76.5413640)"
1046708,3/13/2015 12:41,Low,ND,LARCENCY,P150721349,5900 YORK RD,"(39.3477099,-76.6074868)"
1046709,11/11/2015 6:07,Low,ED,Transport,P153150374,P/U CLERK,"(0.000000,0.000000)"
1046710,11/11/2015 6:09,Medium,ND,BURGLARY,P153150376,3300 CLIPPER MILL RD,"(39.3270587,-76.6377118)"
1046711,11/11/2015 6:04,Low,SE,LARCENY F/AUTO,P153150377,S HIGHLAND AV/FOSTER AV,"(39.284513,-76.568888)"
1046712,11/11/2015 6:11,Medium,ND,DISORDERLY,P153150378,800 BRADHURST RD,"(39.3592032,-76.6051699)"
1046713,11/11/2015 6:11,Medium,SD,DISORDERLY,P153150379,3000 S HANOVER ST,"(39.2513247,-76.6150127)"
1046714,11/11/2015 6:11,High,SE,SILENT ALARM,P153150380,200 S CHESTER ST,"(39.2892967,-76.5873844)"
1046715,11/11/2015 6:14,Low,CW,DEPT ACCIDENT,P153150381,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046716,11/11/2015 6:15,Low,SE,Transport,P153150382,SOUTHEAST DISTRICT,"(39.287496,-76.547644)"
1046717,11/11/2015 6:13,Low,SE,INVESTIGATE,P153150383,200 ALBEMARLE ST,"(39.2873316,-76.6030658)"
1046718,11/11/2015 6:12,Low,SE,LARCENY F/AUTO,P153150384,300 BLK GUSRYAN ST,"(39.2905000,-76.5413640)"
1046719,11/11/2015 6:15,High,NE,SILENT ALARM,P153150387,5300 ELSRODE AV,"(39.3522130,-76.5662260)"
1046720,11/11/2015 6:15,Low,ED,OTHER,P153150388,1000 EDISON HY,"(39.3029101,-76.5728709)"
1046721,11/11/2015 6:18,Low,ED,OTHER,P153150389,1000 EDISON HY,"(39.3029101,-76.5728713)"
1046722,11/11/2015 6:21,Medium,WD,911/NO  VOICE,P153150390,1000 W BALTIMORE ST,"(39.2889640,-76.6339440)"
1046723,11/11/2015 6:17,Low,ND,OTHER,P153150391,W COLD SPRING LN/ROLAND AV,"(39.343933,-76.635251)"
1046724,11/11/2015 6:22,Non-Emergency,ND,RECOVER PROPERTY,P153150393,3800 DERBY MANOR DR,"(39.3342170,-76.6575165)"
1046725,11/11/2015 6:24,Medium,NE,AUTO THEFT,P153150394,6000 ALTA AV,"(39.3512580,-76.5463590)"
1046726,11/11/2015 6:30,Non-Emergency,NE,Repairs/Service,P153150395,100,"(39.3810499,-76.6572571)"
1046727,11/11/2015 6:30,Medium,ED,911/NO  VOICE,P153150396,3800 PULASKI HY,"(39.2974112,-76.5658398)"
1046728,11/11/2015 6:33,Low,SW,FALSE PRETENSE,P153150397,3300 FREDERICK AV,"(39.2811174,-76.6724989)"
1046729,11/11/2015 6:33,Low,SW,HIT AND RUN,P153150398,500 YALE AV,"(39.2769770,-76.6878420)"
1046730,11/11/2015 6:32,Low,NE,AUTO ACCIDENT,P153150399,KIRK AV/THE ALAMEDA,"(39.325999,-76.594077)"
1046731,11/11/2015 6:36,High,NE,Traffic Stop,P153150400,6200 PULASKI HY,"(39.3062340,-76.5408600)"
1046732,11/11/2015 6:33,Medium,NW,7C,P153150401,5800 REISTERSTOWN RD,"(39.3501950,-76.6945820)"
1046733,11/11/2015 6:37,Medium,CW,Lab Request,P153150402,3300 CLIPPER MILL RD,"(39.3270587,-76.6377118)"
1046734,11/11/2015 6:35,Medium,ND,DISORDERLY,P153150403,E NORTHERN PY/YORK RD,"(39.365138,-76.609920)"
1046735,11/11/2015 6:39,Medium,SW,DISORDERLY,P153150404,3300 FREDERICK AV,"(39.2811174,-76.6724989)"
1046736,11/11/2015 6:43,Low,NE,OTHER,P153150405,100,"(39.3810499,-76.6572571)"
1046737,11/11/2015 6:42,Non-Emergency,SD,ANIMAL DISTURB,P153150406,1600 E FORT AV,"(39.2686800,-76.5921660)"
1046738,11/11/2015 6:46,Non-Emergency,SE,Repairs/Service,P153150407,100,"(39.3810499,-76.6572571)"
1046739,11/11/2015 6:46,Low,SE,HIT AND RUN,P153150408,700 KANE ST,"(39.2850156,-76.5374250)"
1046740,11/11/2015 6:48,Low,NE,LARCENCY,P153150409,3700 DELVERNE RD,"(39.3330830,-76.5986000)"
1046741,11/11/2015 6:44,Medium,NE,911/NO  VOICE,P153150410,2500 1/2 HARFORD RD,"(39.317209,-76.594969)"
1046742,11/11/2015 6:50,High,NW,Traffic Stop,P153150411,HILLSDALE RD/W FOREST PARK AV,"(39.320318,-76.699916)"
1046743,11/11/2015 6:49,Medium,SW,FAMILY DISTURB,P153150412,3700 CRANSTON AV,"(39.2966900,-76.6790120)"
1046744,11/11/2015 6:49,Medium,SE,SUSPICIOUS PERS,P153150413,1100 BLK S BOULDIN ST,"(,)"
1046745,11/11/2015 6:51,Non-Emergency,ED,FOLLOW UP,P153150414,800 N LAKEWOOD AV,"(39.3001030,-76.5797682)"
1046746,3/13/2015 12:03,Medium,NE,911/NO  VOICE,P150721233,3200 BELAIR RD,"(39.3207218,-76.5747566)"
1046747,11/11/2015 6:54,Non-Emergency,SE,Repairs/Service,P153150416,100,"(39.3810499,-76.6572571)"
1046748,11/11/2015 6:53,Medium,WD,911/NO  VOICE,P153150417,800 N ARLINGTON AV,"(39.2979694,-76.6358250)"
1046749,11/11/2015 6:55,Medium,NW,911/NO  VOICE,P153150418,4100 PATTERSON AV,"(39.3474337,-76.7143176)"
1046750,11/11/2015 6:57,Medium,SW,FAMILY DISTURB,P153150419,3600 WINDSOR MILL RD,"(39.3127009,-76.6791730)"
1046751,11/11/2015 6:57,Medium,SW,911/NO  VOICE,P153150420,4000 CLIFTON AV,"(39.3121234,-76.6840226)"
1046752,11/11/2015 7:01,Low,NE,HIT AND RUN,P153150421,5500 SILVERBELL RD,"(39.3342170,-76.5321040)"
1046753,11/11/2015 7:01,Low,TRU,LARCENY F/AUTO,P153150422,3200 NORMOUNT AV,"(39.3022350,-76.6704440)"
1046754,11/11/2015 7:03,Low,CD,INVESTIGATE,P153150423,200 MCMECHEN ST,"(39.3085457,-76.6258772)"
1046755,11/11/2015 7:03,Medium,WD,911/NO  VOICE,P153150424,1000 W BALTIMORE ST,"(39.2889640,-76.6339440)"
1046756,11/11/2015 7:04,Medium,WD,911/NO  VOICE,P153150425,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046757,11/11/2015 7:06,Low,CD,HIT AND RUN,P153150426,1000 N CALVERT ST,"(39.3011284,-76.6131410)"
1046758,11/11/2015 7:05,Medium,CD,MENTAL CASE,P153150427,200 MCMECHEN ST,"(39.3085459,-76.6258774)"
1046759,11/11/2015 7:03,Low,ED,HIT AND RUN,P153150428,700 BARTLETT AV,"(39.3162637,-76.6062515)"
1046760,11/11/2015 15:07,Non-Emergency,SE,PRKG COMPLAINT,P153151737,0 S BROADWAY,"(39.2914887,-76.5939696)"
1046761,11/11/2015 15:06,High,ND,SILENT ALARM,P153151738,300 TUNBRIDGE RD,"(39.3561303,-76.6163615)"
1046762,11/11/2015 15:07,Medium,NE,911/NO  VOICE,P153151739,1300 E NORTHERN PY,"(39.2903848,-76.6121893)"
1046763,11/11/2015 15:06,High,SW,AUDIBLE ALARM,P153151740,2200 ELSINORE AV,"(39.3124570,-76.6786290)"
1046764,11/11/2015 15:08,Medium,SW,COMMON ASSAULT,P153151741,WESTSIDE SHOPPING CENTER,"(39.283995,-76.654842)"
1046765,11/11/2015 15:07,Low,SE,DESTRUCT PROPTY,P153151742,O'DONNELL ST/DUNDALK AV,"(39.281769,-76.535682)"
1046766,11/11/2015 15:09,Medium,CD,DISORDERLY,P153151743,200 E PRATT ST,"(39.2870429,-76.6114440)"
1046767,11/11/2015 15:07,Medium,ND,911/NO  VOICE,P153151744,100 W 29TH ST,"(39.3231493,-76.6188892)"
1046768,11/11/2015 15:07,High,CD,ARMED PERSON,P153151745,N CHARLES ST/E PRESTON ST,"(39.304502,-76.616118)"
1046769,11/11/2015 15:08,Low,WD,LARCENCY,P153151746,2400 WINCHESTER ST,"(39.3017934,-76.6554535)"
1046770,11/11/2015 15:09,Medium,WD,911/NO  VOICE,P153151747,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046771,11/11/2015 15:10,Medium,WD,911/NO  VOICE,P153151748,2400 LIBERTY HEIGHTS AV,"(39.3189508,-76.6537455)"
1046772,11/11/2015 15:10,Low,CD,INVESTIGATE,P153151749,1300 MADISON AV,"(39.3031440,-76.6270600)"
1046773,11/11/2015 15:09,Medium,SW,FAMILY DISTURB,P153151751,1000 LYNDHURST ST,"(39.2987110,-76.6817300)"
1046774,11/11/2015 15:10,Medium,SE,911/NO  VOICE,P153151752,6200 E LOMBARD ST,"(39.2960769,-76.5409324)"
1046775,11/11/2015 15:08,Medium,SD,COMMON ASSAULT,P153151753,1600 BENHILL AV,"(39.2204280,-76.5880025)"
1046776,11/11/2015 15:11,Low,ED,INVESTIGATE,P153151754,1500 N WOLFE ST,"(39.3077100,-76.5917030)"
1046777,11/11/2015 15:12,High,NW,RA POLICE,P153151755,4300 WABASH AV,"(39.3354260,-76.6737201)"
1046778,11/11/2015 15:10,Medium,NW,DISORDERLY,P153151756,3900 NORFOLK AV,"(39.3246840,-76.6839180)"
1046779,11/11/2015 15:13,Non-Emergency,ND,Repairs/Service,P153151757,100,"(39.3810499,-76.6572571)"
1046780,11/11/2015 15:14,Medium,ED,NARCOTICS ONVIEW,P153151758,1800 N COLLINGTON AV,"(39.3110692,-76.5876606)"
1046781,11/11/2015 15:14,Medium,TRU,911/NO  VOICE,P153151759,1000 E MCCOMAS ST,"(39.2663422,-76.6011732)"
1046782,11/11/2015 15:11,Low,NW,INVEST TROUBLE,P153151760,3000 DRUID PARK DR,"(39.3238608,-76.6610767)"
1046783,11/11/2015 15:13,Low,NE,WANTED ON WARR,P153151761,2600 GARRETT AV,"(39.3199071,-76.5979649)"
1046784,11/11/2015 15:12,Medium,TRU,911/NO  VOICE,P153151762,1400 E MCCOMAS ST,"(,)"
1046785,11/11/2015 7:34,Medium,ND,DISORDERLY,P153150460,900 HOMESTEAD ST,"(39.3258320,-76.6044310)"
1046786,11/11/2015 7:33,Medium,NE,DISORDERLY,P153150461,4500 NORTHWOOD DR,"(39.3454849,-76.5960270)"
1046787,11/11/2015 7:35,Medium,NW,BURGLARY,P153150462,4800 BEAUFORT AV,"(39.3434830,-76.6748930)"
1046788,11/11/2015 7:36,Low,CD,CK. WELL BEING,P153150463,500 DOLPHIN ST,"(39.3009178,-76.6280667)"
1046789,11/11/2015 7:34,Low,SD,AUTO ACCIDENT,P153150464,RAVENS STADIUM,"(39.277114,-76.624888)"
1046790,11/11/2015 7:38,Medium,ED,FAMILY DISTURB,P153150465,800 HILLMAN CT,"(39.2994326,-76.6055943)"
