,callDateTime,priority,district,description,callNumber,incidentLocation,location
1048442,11/11/2015 19:08,Medium,NW,NARCOTICSOutside,P153152602,NORFOLK AV/OAKFIELD AV,"(39.323622,-76.686659)"
1048443,11/11/2015 19:09,Non-Emergency,NW,Repairs/Service,P153152603,100,"(39.3810499,-76.6572571)"
1048444,11/11/2015 19:10,High,NE,Traffic Stop,P153152604,3800 BELAIR RD,"(39.3252323,-76.5689927)"
1048445,11/11/2015 19:09,Non-Emergency,SD,LOUD MUSIC,P153152605,S MONROE ST/RAMSAY ST,"(39.283132,-76.646649)"
1048446,11/11/2015 19:10,Medium,CW,Lab Request,P153152606,3600 ROLAND AV,"(39.3312997,-76.6328955)"
1048447,11/11/2015 19:10,Non-Emergency,NE,Foot  Patrol,P153152607,5400 HARFORD RD,"(39.3514488,-76.5625647)"
1048448,11/11/2015 19:03,Medium,SW,BURGLARY,P153152608,0 N MORLEY ST,"(39.2866683,-76.6741368)"
1048449,11/11/2015 19:10,Medium,WD,911/NO  VOICE,P153152609,2000 WINCHESTER ST,"(39.3018367,-76.6515506)"
1048450,11/11/2015 19:10,Medium,CD,COMMON ASSAULT,P153152610,800 LINDEN AV,"(39.2987980,-76.6211370)"
1048451,11/11/2015 19:09,High,NE,AGGRAV ASSAULT,P153152611,3600 BLK ERDMAN AV,"(39.3177890,-76.5696700)"
1048452,11/11/2015 19:08,Medium,SE,ATTEMPTED,P153152613,100 N PORT ST,"(39.2933817,-76.5828397)"
1048453,11/11/2015 19:10,High,WD,AGGRAV ASSAULT,P153152614,1900 BLK PENROSE AV,"(39.2914630,-76.6475840)"
1048454,11/11/2015 19:09,Low,CD,AUTO ACCIDENT,P153152616,300 LIGHT ST,"(39.2851556,-76.6140638)"
1048455,11/11/2015 19:11,Medium,NW,SUSPICIOUS PERS,P153152617,3400 POWHATAN AV,"(39.3211609,-76.6750340)"
1048456,11/11/2015 19:12,High,NE,Traffic Stop,P153152618,LAURELTON AV/WELLBRIDGE DR,"(39.367375,-76.562217)"
1048457,11/11/2015 19:12,High,NE,SHOOTING,P153152620,1800 E 29TH ST,"(39.3248330,-76.5905340)"
1048458,11/11/2015 19:07,Low,SW,WANTED ON WARR,P153152622,2100 WILHELM ST,"(39.2836310,-76.6502056)"
1048459,11/11/2015 19:13,Medium,ND,DISORDERLY,P153152623,2700 OSWEGO AV,"(39.3357880,-76.6641800)"
1048460,11/11/2015 19:13,Medium,ED,MISSING PERSON,P153152624,1600 E 25TH ST,"(39.3167095,-76.5951248)"
